dataset,algorithm,weightModel,minSup,minWeight,budget,limitMs,freq,candMNI,mineMNI,medianMs,timedOut,peakMemMB
citeseer.lg,GraMi,none,400,96.0,800,1800000,5,20,2796,4,-,-
citeseer.lg,WEGM,edge,400,96.0,800,1800000,4,10,2279,2,-,-
citeseer.lg,WeLT,edge,400,96.0,800,1800000,4,15,2796,2,-,-
citeseer.lg,GraMi,none,300,96.0,800,1800000,9,30,6330,7,-,-
citeseer.lg,WEGM,edge,300,96.0,800,1800000,5,20,5927,6,-,-
citeseer.lg,WeLT,edge,300,96.0,800,1800000,5,19,3444,2,-,-
citeseer.lg,GraMi,none,250,96.0,800,1800000,20,53,20198,79,-,-
citeseer.lg,WEGM,edge,250,96.0,800,1800000,5,43,19870,59,-,-
citeseer.lg,WeLT,edge,250,96.0,800,1800000,5,19,2900,1,-,-
citeseer.lg,GraMi,none,200,96.0,800,1800000,462,549,695754,29666,-,-
citeseer.lg,WEGM,edge,200,96.0,800,1800000,6,535,695500,27997,-,-
citeseer.lg,WeLT,edge,200,96.0,800,1800000,6,29,3100,2,-,-
citeseer.lg,GraMi,none,150,96.0,800,1800000,82869,86461,88560639,TO,1/1,-
citeseer.lg,WEGM,edge,150,96.0,800,1800000,7,90490,93212159,TO,1/1,-
citeseer.lg,WeLT,edge,150,96.0,800,1800000,7,32,3421,3,-,-
citeseer.lg,GraMi,none,100,96.0,800,1800000,153562,159247,86857727,TO,1/1,-
citeseer.lg,WEGM,edge,100,96.0,800,1800000,9,166440,90937343,TO,1/1,-
citeseer.lg,WeLT,edge,100,96.0,800,1800000,9,35,3124,4,-,-
email_eu.lg,GraMi,none,20,336.0,400,1800000,7,90,192,3,-,-
email_eu.lg,WEGM,edge,20,336.0,400,1800000,4,40,168,3,-,-
email_eu.lg,WeLT,edge,20,336.0,400,1800000,4,78,125,1,-,-
email_eu.lg,GraMi,none,15,336.0,400,1800000,29,240,884,12,-,-
email_eu.lg,WEGM,edge,15,336.0,400,1800000,14,137,850,10,-,-
