dataset,algorithm,weightModel,minSup,minWeight,budget,limitMs,freq,candMNI,mineMNI,medianMs,timedOut,peakMemMB
mico.lg,GraMi,none,16000,100.0,2000,1800000,1,2,24905,140,-,-
mico.lg,WEGM,edge,16000,100.0,2000,1800000,1,2,24905,139,-,-
mico.lg,WeLT,edge,16000,100.0,2000,1800000,1,1,24905,106,-,-
mico.lg,GraMi,none,15000,100.0,2000,1800000,3,7,137987,251,-,-
mico.lg,WEGM,edge,15000,100.0,2000,1800000,3,7,137987,272,-,-
mico.lg,WeLT,edge,15000,100.0,2000,1800000,3,7,137987,236,-,-
mico.lg,GraMi,none,14000,100.0,2000,1800000,12,23,844937,8785,-,-
mico.lg,WEGM,edge,14000,100.0,2000,1800000,12,23,844937,8785,-,-
mico.lg,WeLT,edge,14000,100.0,2000,1800000,12,23,844937,8731,-,-
github.lg,GraMi,none,26000,30.0,2000,1800000,1,2,44880,46,-,-
github.lg,WEGM,edge,26000,30.0,2000,1800000,1,2,44880,33,-,-
github.lg,WeLT,edge,26000,30.0,2000,1800000,1,1,44880,26,-,-
github.lg,GraMi,none,25000,30.0,2000,1800000,1,2,43040,45,-,-
github.lg,WEGM,edge,25000,30.0,2000,1800000,1,2,43040,33,-,-
github.lg,WeLT,edge,25000,30.0,2000,1800000,1,1,43040,26,-,-
github.lg,GraMi,none,24000,30.0,2000,1800000,122,127,69222132,800621,-,-
github.lg,WEGM,edge,24000,30.0,2000,1800000,122,127,69222132,791129,-,-
github.lg,WeLT,edge,24000,30.0,2000,1800000,122,127,69222132,792346,-,-
string_ecoli.lg,GraMi,none,2000,750.0,400,1800000,0,0,0,4,-,-
string_ecoli.lg,WEGM,edge,2000,750.0,400,1800000,0,0,0,4,-,-
string_ecoli.lg,WeLT,edge,2000,750.0,400,1800000,0,0,0,4,-,-
string_ecoli.lg,GraMi,none,1900,750.0,400,1800000,1,2,3141,8,-,-
string_ecoli.lg,WEGM,edge,1900,750.0,400,1800000,1,2,3141,9,-,-
string_ecoli.lg,WeLT,edge,1900,750.0,400,1800000,1,1,3141,7,-,-
string_ecoli.lg,GraMi,none,1850,750.0,400,1800000,102,199,5197055,TO,1/1,-
string_ecoli.lg,WEGM,edge,1850,750.0,400,1800000,102,199,5197055,TO,1/1,-
string_ecoli.lg,WeLT,edge,1850,750.0,400,1800000,102,199,5197055,TO,1/1,-
string_ecoli.lg,GraMi,none,1850,750.0,400,3600000,115,225,6547199,TO,1/1,3601.1
string_ecoli.lg,WEGM,edge,1850,750.0,400,3600000,115,225,6547199,TO,1/1,3500.4
string_ecoli.lg,WeLT,edge,1850,750.0,400,3600000,115,225,6547199,TO,1/1,3611.8
